function,dim,library,time_ms,best
sphere,2,turboswarm (native),3.134,2.7020466936041965e-20
sphere,2,turboswarm (py),20.955,2.7020466936041965e-20
sphere,2,pyswarms,8.89,1.2701308406347354e-21
sphere,2,pyswarm,13.505,1.0289152056928251e-08
sphere,2,pymoo,236.865,6.48169328611054e-17
sphere,2,DEAP,22.558,1.4376913654826917e-21
sphere,10,turboswarm (native),4.601,2.3008598513824432e-10
sphere,10,turboswarm (py),24.99,2.3008598513824435e-10
sphere,10,pyswarms,11.591,6.70554271743074e-09
sphere,10,pyswarm,33.133,7.826411845774862e-08
sphere,10,pymoo,227.802,8.518611538150351e-09
sphere,10,DEAP,40.516,2.1635014868701966e-10
sphere,30,turboswarm (native),8.143,0.003484246020878928
sphere,30,turboswarm (py),34.295,0.003484246020878927
sphere,30,pyswarms,16.545,0.015270078575195687
sphere,30,pyswarm,42.541,0.01120466175513612
sphere,30,pymoo,241.046,0.003362332113313369
sphere,30,DEAP,82.521,0.010487547021736413
rastrigin,2,turboswarm (native),3.234,0.0
rastrigin,2,turboswarm (py),37.991,0.0
rastrigin,2,pyswarms,10.142,0.0
rastrigin,2,pyswarm,26.743,1.6178745454453747e-08
rastrigin,2,pymoo,227.354,4.973799150320701e-14
rastrigin,2,DEAP,40.658,0.0
rastrigin,10,turboswarm (native),6.302,7.961994717849649
rastrigin,10,turboswarm (py),51.958,7.961994717849649
rastrigin,10,pyswarms,14.612,5.035847320107379
rastrigin,10,pyswarm,57.569,5.042944497904514
rastrigin,10,pymoo,231.904,4.979675512766718
rastrigin,10,DEAP,57.261,4.974977541402282
rastrigin,30,turboswarm (native),9.847,182.4787475785007
rastrigin,30,turboswarm (py),53.215,182.4787475785007
rastrigin,30,pyswarms,21.402,111.06084538497703
rastrigin,30,pyswarm,61.818,134.24401630752368
rastrigin,30,pymoo,247.46,84.03349382831632
rastrigin,30,DEAP,100.149,130.77978831747416
ackley,2,turboswarm (native),3.331,4.850666535105574e-10
ackley,2,turboswarm (py),45.948,4.850666535105574e-10
ackley,2,pyswarms,11.041,8.423275410507358e-10
ackley,2,pyswarm,52.422,7.742193419701948e-08
ackley,2,pymoo,225.891,4.526066321730582e-08
ackley,2,DEAP,47.831,8.090994541021246e-11
ackley,10,turboswarm (native),5.25,0.0002054229310783917
ackley,10,turboswarm (py),50.435,0.0002054229310783917
ackley,10,pyswarms,14.143,0.0006133758733679606
ackley,10,pyswarm,66.203,0.00024096305397991458
ackley,10,pymoo,226.774,0.0008863978477724466
ackley,10,DEAP,66.113,0.0001965239031602728
ackley,30,turboswarm (native),10.677,2.2904327880146202
ackley,30,turboswarm (py),62.206,2.2904327880146202
ackley,30,pyswarms,21.434,3.591365146848713
ackley,30,pyswarm,70.514,2.75489506897981
ackley,30,pymoo,241.714,0.9101940059896383
ackley,30,DEAP,110.758,3.281558127871737
rosenbrock,2,turboswarm (native),3.088,5.547813662249891e-10
rosenbrock,2,turboswarm (py),43.871,5.547813662249891e-10
rosenbrock,2,pyswarms,12.309,3.1596286403349473e-10
rosenbrock,2,pyswarm,55.449,3.199331415935044e-07
rosenbrock,2,pymoo,221.882,5.060009416986768e-10
rosenbrock,2,DEAP,46.013,1.079182906874786e-10
rosenbrock,10,turboswarm (native),4.552,5.4804485653303265
rosenbrock,10,turboswarm (py),48.943,5.4804485653303265
rosenbrock,10,pyswarms,13.403,4.951680133484712
rosenbrock,10,pyswarm,64.809,4.656681331758946
rosenbrock,10,pymoo,227.032,5.674821012781454
rosenbrock,10,DEAP,64.087,6.822038991835786
rosenbrock,30,turboswarm (native),8.226,105.56733248736735
rosenbrock,30,turboswarm (py),58.478,105.56733248736735
rosenbrock,30,pyswarms,18.595,121.86829760369567
rosenbrock,30,pyswarm,67.407,114.49582265311162
rosenbrock,30,pymoo,238.625,77.56932479621157
rosenbrock,30,DEAP,106.554,84.10033081705689
griewank,2,turboswarm (native),3.319,1.716441455634765e-08
griewank,2,turboswarm (py),46.27,1.716441455634765e-08
griewank,2,pyswarms,10.431,0.0002219208683400531
griewank,2,pyswarm,45.609,8.983587507227497e-08
griewank,2,pymoo,222.475,0.007396040346450472
griewank,2,DEAP,47.609,0.007396040334116893
griewank,10,turboswarm (native),5.5,0.10818780794682192
griewank,10,turboswarm (py),50.658,0.10818780794682215
griewank,10,pyswarms,13.025,0.08858329172091872
griewank,10,pyswarm,65.938,0.09057903261632516
griewank,10,pymoo,227.382,0.09080270992914019
griewank,10,DEAP,66.44,0.08422829374939012
griewank,30,turboswarm (native),11.686,0.956844753588372
griewank,30,turboswarm (py),62.716,0.956844753588372
griewank,30,pyswarms,20.516,1.25883071193454
griewank,30,pyswarm,71.711,1.1061892260735628
griewank,30,pymoo,243.002,0.8378460150263622
griewank,30,DEAP,111.304,1.0317579364102936
